GEOID1,GEOID,HD01_VD01,HD01_VD02,Ratio
1400000US,4019004720,432,17,0.04
1400000US,4019004721,830,35,0.04
1400000US,4019004722,667,15,0.02
1400000US,4019004723,1404,45,0.03
1400000US,4019004724,805,36,0.04
1400000US,4019004725,692,83,0.12
1400000US,4019004726,1121,8,0.01
1400000US,4019005200,905,190,0.21
1400000US,4019005300,979,21,0.02
1400000US,4019940600,215,75,0.35
1400000US,4019940700,280,160,0.57
1400000US,4019940800,840,383,0.46
1400000US,4019940900,530,124,0.23
1400000US,4019941000,747,298,0.4
1400000US,4021000201,1521,120,0.08
1400000US,4021000204,2162,170,0.08
1400000US,4021000205,4193,290,0.07
1400000US,4021000206,1075,114,0.11
1400000US,4021000207,2543,186,0.07
1400000US,4021000208,537,34,0.06
1400000US,4021000209,2593,164,0.06
1400000US,4021000210,1852,101,0.05
1400000US,4021000211,1143,168,0.15
1400000US,4021000212,1315,171,0.13
1400000US,4021000213,2788,203,0.07
1400000US,4021000214,2279,159,0.07
1400000US,4021000215,526,12,0.02
1400000US,4021000307,666,61,0.09
1400000US,4021000308,1207,234,0.19
1400000US,4021000309,809,79,0.1
1400000US,4021000310,865,110,0.13
1400000US,4021000311,897,26,0.03
1400000US,4021000312,1003,164,0.16
1400000US,4021000313,1260,165,0.13
1400000US,4021000314,1480,307,0.21
1400000US,4021000315,1168,266,0.23
1400000US,4021000316,2758,74,0.03
1400000US,4021000317,811,9,0.01
1400000US,4021000318,1895,125,0.07
1400000US,4021000319,587,47,0.08
1400000US,4021000400,647,52,0.08
1400000US,4021000603,2099,109,0.05
1400000US,4021000604,1863,14,0.01
1400000US,4021000700,857,150,0.18
1400000US,4021000801,3209,166,0.05
1400000US,4021000802,1357,69,0.05
1400000US,4021000803,231,36,0.16
1400000US,4021000901,272,63,0.23
1400000US,4021000902,570,88,0.15
1400000US,4021001000,985,311,0.32
1400000US,4021001100,1600,171,0.11
1400000US,4021001200,1227,191,0.16
1400000US,4021001301,1828,310,0.17
1400000US,4021001303,466,50,0.11
1400000US,4021001304,2196,148,0.07
1400000US,4021001305,1518,131,0.09
1400000US,4021001306,1185,290,0.24
1400000US,4021001403,1206,174,0.14
1400000US,4021001404,1037,106,0.1
1400000US,4021001405,1248,107,0.09
1400000US,4021001406,1022,357,0.35
1400000US,4021001407,585,102,0.17
1400000US,4021001408,795,21,0.03
1400000US,4021001500,787,331,0.42
1400000US,4021001600,1369,165,0.12
1400000US,4021001701,243,55,0.23
1400000US,4021001702,584,88,0.15
1400000US,4021001703,488,61,0.13
1400000US,4021001704,1499,79,0.05
1400000US,4021001705,1594,144,0.09
1400000US,4021001706,1019,79,0.08
1400000US,4021001707,1161,52,0.04
1400000US,4021001708,1773,68,0.04
1400000US,4021001709,915,41,0.04
1400000US,4021001710,1143,47,0.04
1400000US,4021001711,677,7,0.01
1400000US,4021001900,543,128,0.24
1400000US,4021002001,894,172,0.19
1400000US,4021002002,169,42,0.25
1400000US,4021002003,829,262,0.32
1400000US,4021002101,1890,316,0.17
1400000US,4021002102,264,53,0.2
1400000US,4021002103,1503,219,0.15
1400000US,4021002200,1282,83,0.06
1400000US,4021002300,609,70,0.11
1400000US,4021002400,483,71,0.15
1400000US,4021941200,1085,435,0.4
1400000US,4021941300,326,168,0.52
1400000US,4021941400,1856,347,0.19
1400000US,4023966000,915,103,0.11
1400000US,4023966101,814,39,0.05
1400000US,4023966103,269,75,0.28
1400000US,4023966104,2421,306,0.13
1400000US,4023966105,2626,375,0.14
1400000US,4023966200,1130,282,0.25
1400000US,4023966301,1172,221,0.19
1400000US,4023966302,749,336,0.45
1400000US,4023966401,726,130,0.18
